2013-07-15 07:10:46,953 [StateChange] INFO  Overlay - Transitioning from Idle to Intro.
2013-07-15 07:10:49,104 [Tick Thread] DEBUG MainWindowOverlay - Disabling cursor control
2013-07-15 07:10:49,140 [Tick Thread] DEBUG LeftWindowOverlay - Disabling cursor control
2013-07-15 07:10:49,194 [Tick Thread] DEBUG RightWindowOverlay - Disabling cursor control
2013-07-15 07:10:49,194 [Tick Thread] INFO  Overlay - Current state set to Intro.
2013-07-15 07:10:52,491 [StateChange] INFO  Overlay - Transitioning from Intro to Splash.
2013-07-15 07:10:52,582 [StateChange] DEBUG MainWindowOverlay - Enabling cursor control
2013-07-15 07:10:52,588 [StateChange] DEBUG LeftWindowOverlay - Enabling cursor control
2013-07-15 07:10:52,596 [StateChange] DEBUG RightWindowOverlay - Enabling cursor control
2013-07-15 07:10:52,605 [StateChange] INFO  Overlay - Current state set to Splash.
2013-07-15 07:11:22,660 [StateChange] INFO  Overlay - Transitioning from Splash to IdleOutro.
2013-07-15 07:11:24,763 [Tick Thread] DEBUG MainWindowOverlay - Disabling cursor control
2013-07-15 07:11:24,789 [Tick Thread] DEBUG LeftWindowOverlay - Disabling cursor control
2013-07-15 07:11:24,790 [Tick Thread] DEBUG RightWindowOverlay - Disabling cursor control
2013-07-15 07:11:24,790 [Tick Thread] INFO  Overlay - Current state set to IdleOutro.
2013-07-15 07:11:29,788 [StateChange] INFO  Overlay - Transitioning from IdleOutro to Idle.
2013-07-15 07:11:29,791 [StateChange] DEBUG MainWindowOverlay - Disabling cursor control
2013-07-15 07:11:29,792 [StateChange] DEBUG LeftWindowOverlay - Disabling cursor control
2013-07-15 07:11:29,793 [StateChange] DEBUG RightWindowOverlay - Disabling cursor control
2013-07-15 07:11:31,831 [Tick Thread] INFO  Overlay - Current state set to Idle.
2013-07-15 07:11:41,484 [StateChange] INFO  Overlay - Transitioning from Idle to Intro.
2013-07-15 07:11:43,625 [Tick Thread] DEBUG MainWindowOverlay - Disabling cursor control
2013-07-15 07:11:43,625 [Tick Thread] DEBUG LeftWindowOverlay - Disabling cursor control
2013-07-15 07:11:43,626 [Tick Thread] DEBUG RightWindowOverlay - Disabling cursor control
2013-07-15 07:11:43,626 [Tick Thread] INFO  Overlay - Current state set to Intro.
2013-07-15 07:11:48,631 [StateChange] INFO  Overlay - Transitioning from Intro to GuidedTour.
2013-07-15 07:11:48,642 [StateChange] DEBUG MainWindowOverlay - Disabling cursor control
2013-07-15 07:11:48,646 [StateChange] DEBUG LeftWindowOverlay - Disabling cursor control
